,score,winLEN,tag,cv,seed,subject
169,0.9,0.3,wn,1,28.0,shinanlin
170,0.95,0.3,wn,2,28.0,shinanlin
171,0.9,0.3,wn,3,28.0,shinanlin
172,0.925,0.3,wn,4,28.0,shinanlin
173,0.9,0.3,wn,5,28.0,shinanlin
174,0.95,0.3,wn,0,29.0,shinanlin
175,0.925,0.3,wn,1,29.0,shinanlin
176,0.825,0.3,wn,2,29.0,shinanlin
177,0.775,0.3,wn,3,29.0,shinanlin
178,0.925,0.3,wn,4,29.0,shinanlin
179,0.925,0.3,wn,5,29.0,shinanlin
180,0.9,0.3,wn,0,30.0,shinanlin
181,0.875,0.3,wn,1,30.0,shinanlin
182,0.9,0.3,wn,2,30.0,shinanlin
183,0.825,0.3,wn,3,30.0,shinanlin
184,0.925,0.3,wn,4,30.0,shinanlin
185,0.875,0.3,wn,5,30.0,shinanlin
186,0.925,0.3,wn,0,31.0,shinanlin
187,0.95,0.3,wn,1,31.0,shinanlin
188,0.95,0.3,wn,2,31.0,shinanlin
189,0.95,0.3,wn,3,31.0,shinanlin
190,0.85,0.3,wn,4,31.0,shinanlin
191,0.875,0.3,wn,5,31.0,shinanlin
192,0.95,0.3,wn,0,32.0,shinanlin
193,0.875,0.3,wn,1,32.0,shinanlin
194,0.925,0.3,wn,2,32.0,shinanlin
195,0.95,0.3,wn,3,32.0,shinanlin
196,0.9,0.3,wn,4,32.0,shinanlin
197,0.95,0.3,wn,5,32.0,shinanlin
198,0.95,0.3,wn,0,33.0,shinanlin
199,0.95,0.3,wn,1,33.0,shinanlin
200,0.925,0.3,wn,2,33.0,shinanlin
201,0.95,0.3,wn,3,33.0,shinanlin
202,0.85,0.3,wn,4,33.0,shinanlin
203,0.875,0.3,wn,5,33.0,shinanlin
204,0.975,0.3,wn,0,34.0,shinanlin
205,0.9,0.3,wn,1,34.0,shinanlin
206,0.925,0.3,wn,2,34.0,shinanlin
207,0.9,0.3,wn,3,34.0,shinanlin
208,0.925,0.3,wn,4,34.0,shinanlin
209,0.9,0.3,wn,5,34.0,shinanlin
210,0.975,0.3,wn,0,35.0,shinanlin
211,0.875,0.3,wn,1,35.0,shinanlin
212,0.75,0.3,wn,2,35.0,shinanlin
213,0.875,0.3,wn,3,35.0,shinanlin
214,0.95,0.3,wn,4,35.0,shinanlin
215,0.925,0.3,wn,5,35.0,shinanlin
216,0.825,0.3,wn,0,36.0,shinanlin
217,0.85,0.3,wn,1,36.0,shinanlin
218,0.875,0.3,wn,2,36.0,shinanlin
219,0.875,0.3,wn,3,36.0,shinanlin
220,0.85,0.3,wn,4,36.0,shinanlin
221,0.925,0.3,wn,5,36.0,shinanlin
222,0.85,0.3,wn,0,37.0,shinanlin
223,0.9,0.3,wn,1,37.0,shinanlin
224,0.85,0.3,wn,2,37.0,shinanlin
225,0.8,0.3,wn,3,37.0,shinanlin
226,0.85,0.3,wn,4,37.0,shinanlin
227,0.9,0.3,wn,5,37.0,shinanlin
228,0.925,0.3,wn,0,38.0,shinanlin
229,0.825,0.3,wn,1,38.0,shinanlin
230,0.9,0.3,wn,2,38.0,shinanlin
231,0.85,0.3,wn,3,38.0,shinanlin
232,0.825,0.3,wn,4,38.0,shinanlin
233,0.85,0.3,wn,5,38.0,shinanlin
234,0.9,0.3,wn,0,39.0,shinanlin
235,0.875,0.3,wn,1,39.0,shinanlin
236,0.875,0.3,wn,2,39.0,shinanlin
237,0.825,0.3,wn,3,39.0,shinanlin
238,0.925,0.3,wn,4,39.0,shinanlin
239,0.85,0.3,wn,5,39.0,shinanlin
240,0.875,0.3,wn,0,40.0,shinanlin
241,0.875,0.3,wn,1,40.0,shinanlin
242,0.925,0.3,wn,2,40.0,shinanlin
243,0.925,0.3,wn,3,40.0,shinanlin
244,0.85,0.3,wn,4,40.0,shinanlin
245,0.8,0.3,wn,5,40.0,shinanlin
246,0.925,0.3,wn,0,41.0,shinanlin
